tempo,x1,y1,z1,x2,y2,z2,distanza
0,7000,0,0,6900,500,0,509.902
20,6996.75,150.919,0,6906.68,653.697,0,510.781
40,6990.24,301.768,0,6910.06,807.081,0,511.635
60,6980.48,452.476,0,6910.16,960.083,0,512.454
80,6967.46,602.973,0,6907.03,1112.63,0,513.232
100,6951.2,753.19,0,6900.67,1264.67,0,513.968
120,6931.7,903.055,0,6891.14,1416.12,0,514.663
140,6908.96,1052.5,0,6878.44,1566.92,0,515.324
160,6882.99,1201.45,0,6862.62,1717.01,0,515.96
180,6853.81,1349.84,0,6843.71,1866.32,0,516.582
200,6821.42,1497.6,0,6821.75,2014.81,0,517.207
220,6785.84,1644.66,0,6796.76,2162.4,0,517.854
240,6747.08,1790.95,0,6768.79,2309.04,0,518.546
260,6705.15,1936.39,0,6737.86,2454.67,0,519.307
280,6660.09,2080.93,0,6704.02,2599.24,0,520.167
300,6611.89,2224.5,0,6667.31,2742.7,0,521.157
320,6560.6,2367.02,0,6627.76,2884.99,0,522.31
340,6506.21,2508.42,0,6585.41,3026.06,0,523.663
360,6448.77,2648.65,0,6540.31,3165.87,0,525.255
380,6388.3,2787.63,0,6492.48,3304.36,0,527.125
400,6324.81,2925.3,0,6441.98,3441.48,0,529.316
420,6258.35,3061.59,0,6388.85,3577.2,0,531.87
440,6188.94,3196.44,0,6333.11,3711.47,0,534.832
460,6116.61,3329.77,0,6274.83,3844.24,0,538.245
480,6041.38,3461.54,0,6214.03,3975.47,0,542.153
500,5963.31,3591.67,0,6150.77,4105.12,0,546.599
520,5882.42,3720.11,0,6085.08,4233.16,0,551.625
540,5798.75,3846.78,0,6017.01,4359.53,0,557.272
560,5712.33,3971.64,0,5946.6,4484.22,0,563.578
580,5623.21,4094.61,0,5873.9,4607.17,0,570.577
600,5531.42,4215.65,0,5798.94,4728.35,0,578.304
620,5437.01,4334.69,0,5721.78,4847.74,0,586.787
640,5340.03,4451.67,0,5642.46,4965.3,0,596.051
660,5240.51,4566.54,0,5561.01,5080.99,0,606.119
680,5138.5,4679.24,0,5477.49,5194.78,0,617.008
700,5034.05,4789.72,0,5391.95,5306.65,0,628.733
720,4927.21,4897.92,0,5304.41,5416.56,0,641.304
740,4818.03,5003.79,0,5214.94,5524.5,0,654.727
760,4706.56,5107.29,0,5123.57,5630.42,0,669.005
780,4592.84,5208.35,0,5030.34,5734.31,0,684.137
800,4476.94,5306.93,0,4935.31,5836.14,0,700.12
820,4358.91,5402.99,0,4838.52,5935.89,0,716.947
840,4238.79,5496.47,0,4740.01,6033.53,0,734.609
860,4116.66,5587.33,0,4639.83,6129.04,0,753.094
880,3992.57,5675.53,0,4538.02,6222.39,0,772.389
900,3866.57,5761.01,0,4434.63,6313.58,0,792.479
920,3738.72,5843.75,0,4329.69,6402.57,0,813.347
940,3609.09,5923.7,0,4223.26,6489.36,0,834.975
960,3477.73,6000.81,0,4115.38,6573.91,0,857.345
980,3344.71,6075.06,0,4006.1,6656.22,0,880.438
1000,3210.1,6146.41,0,3895.45,6736.26,0,904.232
1020,3073.95,6214.81,0,3783.48,6814.03,0,928.709
1040,2936.32,6280.25,0,3670.24,6889.5,0,953.847
1060,2797.3,6342.67,0,3555.77,6962.66,0,979.624
1080,2656.93,6402.07,0,3440.11,7033.5,0,1006.02
1100,2515.29,6458.39,0,3323.31,7102,0,1033.02
1120,2372.45,6511.63,0,3205.41,7168.16,0,1060.59
1140,2228.47,6561.74,0,3086.46,7231.95,0,1088.72
1160,2083.43,6608.72,0,2966.49,7293.37,0,1117.39
1180,1937.38,6652.52,0,2845.56,7352.41,0,1146.57
1200,1790.41,6693.14,0,2723.69,7409.05,0,1176.25
1220,1642.58,6730.55,0,2600.95,7463.3,0,1206.4
1240,1493.96,6764.73,0,2477.36,7515.13,0,1237.01
1260,1344.62,6795.67,0,2352.98,7564.55,0,1268.06
1280,1194.64,6823.34,0,2227.85,7611.54,0,1299.52
1300,1044.09,6847.75,0,2102,7656.1,0,1331.39
1320,893.036,6868.87,0,1975.48,7698.22,0,1363.64
1340,741.553,6886.7,0,1848.33,7737.89,0,1396.24
1360,589.715,6901.22,0,1720.6,7775.11,0,1429.2
1380,437.594,6912.43,0,1592.33,7809.88,0,1462.48
1400,285.263,6920.32,0,1463.55,7842.19,0,1496.07
1420,132.795,6924.89,0,1334.32,7872.04,0,1529.95
1440,-19.7373,6926.14,0,1204.67,7899.42,0,1564.11
1460,-172.26,6924.07,0,1074.64,7924.33,0,1598.53
1480,-324.699,6918.67,0,944.274,7946.78,0,1633.19
1500,-476.983,6909.96,0,813.616,7966.75,0,1668.07
1520,-629.038,6897.92,0,682.705,7984.24,0,1703.16
1540,-780.792,6882.58,0,551.583,7999.27,0,1738.45
1560,-932.17,6863.94,0,420.29,8011.82,0,1773.91
1580,-1083.1,6842,0,288.868,8021.89,0,1809.54
1600,-1233.51,6816.79,0,157.356,8029.5,0,1845.31
1620,-1383.33,6788.3,0,25.7964,8034.63,0,1881.22
1640,-1532.49,6756.56,0,-105.771,8037.29,0,1917.24
1660,-1680.91,6721.58,0,-237.307,8037.48,0,1953.36
1680,-1828.53,6683.38,0,-368.77,8035.21,0,1989.56
1700,-1975.27,6641.97,0,-500.119,8030.48,0,2025.84
1720,-2121.06,6597.38,0,-631.316,8023.29,0,2062.17
1740,-2265.84,6549.63,0,-762.319,8013.64,0,2098.55
1760,-2409.54,6498.75,0,-893.09,8001.55,0,2134.95
1780,-2552.07,6444.75,0,-1023.59,7987.01,0,2171.37
1800,-2693.39,6387.67,0,-1153.77,7970.04,0,2207.79
1820,-2833.42,6327.53,0,-1283.61,7950.63,0,2244.19
1840,-2972.09,6264.36,0,-1413.05,7928.79,0,2280.56
1860,-3109.34,6198.2,0,-1542.06,7904.53,0,2316.89
1880,-3245.11,6129.07,0,-1670.6,7877.86,0,2353.16
1900,-3379.32,6057.01,0,-1798.62,7848.79,0,2389.36
1920,-3511.92,5982.06,0,-1926.1,7817.32,0,2425.48
1940,-3642.84,5904.25,0,-2053,7783.46,0,2461.51
1960,-3772.02,5823.63,0,-2179.26,7747.22,0,2497.42
